acl 2.2.53-3
adobe-source-code-pro-fonts 2.032ro+1.052it+1.012var-1
adwaita-icon-theme 3.38.0-1
alacritty 0.6.0-1
alsa-card-profiles 14.0-1
alsa-lib 1.2.4-3
alsa-plugins 1:1.2.2-2
alsa-topology-conf 1.2.4-2
alsa-ucm-conf 1.2.4-2
alsa-utils 1.2.4-2
aom 2.0.1-1
archlinux-keyring 20201210-1
archlinux-wallpaper 1.6.1-1
argon2 20190702-3
at-spi2-atk 2.38.0-1
at-spi2-core 2.38.0-1
atk 2.36.0-1
atkmm 2.28.1-1
attr 2.4.48-3
audit 2.8.5-9
auryo-bin 2.5.4-2
autoconf 2.69-7
autoconf-archive 1:2019.01.06-4
automake 1.16.2-3
avahi 0.8+15+ge8a3dd0-3
base 2-2
bash 5.1.0-2
bash-completion 2.11-1
bc 1.07.1-4
bibata-cursor-theme-bin 1.0.3-1
binutils 2.35.1-1
bison 3.7.2-1
bluez 5.55-1
bluez-libs 5.55-1
bluez-utils 5.55-1
boost-libs 1.75.0-1
brotli 1.0.9-4
bspwm 0.9.10-1
btrfs-progs 5.9-3
bubblewrap 0.4.1-1
bzip2 1.0.8-4
ca-certificates 20181109-4
ca-certificates-mozilla 3.60-1
ca-certificates-utils 20181109-4
cairo 1.17.4-2
cairomm 1.12.2-4
cantarell-fonts 1:0.201-1
chromium 87.0.4280.88-2
cmake 3.19.1-2
colord 1.4.5-1
consolas-font 1.2-2
coreutils 8.32-1
cryptsetup 2.3.4-1
cups 1:2.3.3op1-1
cups-filters 1.28.6-1
curl 7.74.0-1
dav1d 0.7.1-1
db 5.3.28-5
dbus 1.12.20-1
dbus-glib 0.110-2
dconf 0.38.0-1
deno 1.5.3-1
desktop-file-utils 0.26-1
device-mapper 2.02.187-3
dialog 1:1.3_20201126-1
diffutils 3.7-3
discord 0.0.13-1
dmraid 1.0.0.rc16.3-12
dnssec-anchors 20190629-3
docbook-xml 4.5-9
docbook-xsl 1.79.2-7
dosfstools 4.1-3
dotnet-host-bin 5.0.1.sdk101-1
dotnet-runtime-bin 5.0.1.sdk101-1
